age,sex,race,education,employment,income,avebooks,readprint,readaudio,readebook,borrowed,lib, bought, other, news, mags, total
38 to 48,Male,White,High school incomplete,Employed full-time,$20k to under $30k,1,1,0,0,0,0,1,0,0,0,2
38 to 48,Male,White,High school incomplete,Employed full-time,$50k to under $75k,3,1,0,0,0,0,1,0,0,1,1
38 to 48,Female,White,High school incomplete,Employed full-time,Unknown,4,0,0,1,0,0,1,0,1,0,1
38 to 48,Female,White,High school incomplete,Not employed for pay,Less than $10k,0,1,0,0,0,1,0,0,2,0,2
38 to 48,Female,White,High school incomplete,Not employed for pay,$20k to under $30k,6,1,0,0,0,0,1,0,0,0,1
38 to 48,Female,White,High school incomplete,Not employed for pay,$30k to under $40k,12,1,1,1,1,0,0,0,1,1,1
38 to 48,Male,White,High school incomplete,Not employed for pay,$100k to under $150k,4,1,0,0,0,1,0,0,1,0,1
38 to 48,Male,White,High school incomplete,Disabled,Less than $10k,6,1,1,0,0,1,0,0,0,0,1
38 to 48,Male,White,High school graduate,Have own business/self-employed,$30k to under $40k,5,1,0,0,1,0,0,0,0,0,1
38 to 48,Female,White,High school graduate,Have own business/self-employed,$40k to under $50k,48,1,0,0,0,0,1,0,0,0,1
38 to 48,Female,White,High school graduate,Have own business/self-employed,$75k to under $100k,30,1,1,1,0,0,1,0,1,0,1
38 to 48,Female,White,High school graduate,Employed part-time,$10k to under $20k,1,1,0,0,0,0,1,0,1,0,1
38 to 48,Male,White,High school graduate,Employed part-time,$10k to under $20k,3,1,0,0,0,0,1,0,1,0,1
38 to 48,Female,White,High school graduate,Employed part-time,$20k to under $30k,54,1,0,1,0,1,0,0,0,0,1
38 to 48,Female,White,High school graduate,Employed part-time,Unknown,5,1,0,0,1,0,0,0,0,1,1
38 to 48,Male,White,High school graduate,Employed full-time,$10k to under $20k,0,1,1,0,0,1,0,0,1,1,2
38 to 48,Male,White,High school graduate,Employed full-time,$20k to under $30k,2,0,0,0,0,0,0,1,1,0,1
38 to 48,Female,White,High school graduate,Employed full-time,$30k to under $40k,7,2,0,1,1,0,1,0,0,0,2
38 to 48,Male,White,High school graduate,Employed full-time,$30k to under $40k,11,2,0,0,0,1,0,1,1,0,2
38 to 48,Female,White,High school graduate,Employed full-time,$40k to under $50k,6,2,2,0,0,1,2,0,4,2,4
38 to 48,Male,White,High school graduate,Employed full-time,$40k to under $50k,4,4,0,0,1,0,1,2,5,2,6
38 to 48,Female,White,High school graduate,Employed full-time,$50k to under $75k,11,7,1,1,3,0,3,1,5,5,7
38 to 48,Male,White,High school graduate,Employed full-time,$50k to under $75k,1,0,0,1,0,0,0,1,2,0,3
38 to 48,Female,White,High school graduate,Employed full-time,$75k to under $100k,22,3,0,2,2,0,1,0,1,2,3
38 to 48,Male,White,High school graduate,Employed full-time,$75k to under $100k,6,3,1,0,1,0,2,0,3,1,5
38 to 48,Female,White,High school graduate,Employed full-time,$100k to under $150k,5,0,0,0,0,0,1,0,2,2,2
38 to 48,Male,White,High school graduate,Employed full-time,$100k to under $150k,4,7,1,2,4,0,2,1,4,4,8
38 to 48,Female,White,High school graduate,Employed full-time,Unknown,15,2,0,0,0,0,2,0,0,1,2
38 to 48,Male,White,High school graduate,Not employed for pay,Less than $10k,32,1,0,0,0,0,1,0,0,1,2
38 to 48,Female,White,High school graduate,Not employed for pay,$40k to under $50k,3,1,0,0,0,0,1,0,1,0,1
38 to 48,Male,White,High school graduate,Not employed for pay,$40k to under $50k,15,1,0,0,0,0,1,0,1,0,1
38 to 48,Male,White,High school graduate,Not employed for pay,$75k to under $100k,50,1,0,0,1,0,0,0,1,1,1
38 to 48,Female,White,High school graduate,Not employed for pay,$100k to under $150k,10,1,0,0,0,1,0,0,1,1,1
38 to 48,Female,White,High school graduate,Not employed for pay,Unknown,5,1,0,0,0,0,1,0,0,1,1
38 to 48,Female,White,High school graduate,Disabled,$10k to under $20k,25,1,0,0,0,0,1,0,0,0,2
38 to 48,Female,White,College graduate,Retired,$75k to under $100k,15,1,0,1,1,0,0,0,1,1,1
38 to 48,Male,White,College graduate,Retired,$100k to under $150k,24,1,0,1,0,0,1,0,1,1,1
38 to 48,Female,White,College graduate,Have own business/self-employed,$20k to under $30k,5,1,0,0,0,0,1,0,0,0,1
38 to 48,Female,White,College graduate,Have own business/self-employed,$30k to under $40k,97,1,0,0,0,1,0,0,1,1,1
38 to 48,Male,White,College graduate,Have own business/self-employed,$30k to under $40k,15,2,1,1,0,0,1,1,1,0,2
38 to 48,Male,White,College graduate,Have own business/self-employed,$40k to under $50k,25,1,0,0,0,0,0,1,0,1,1
38 to 48,Male,White,College graduate,Have own business/self-employed,$75k to under $100k,4,1,0,0,1,0,0,0,1,1,1
38 to 48,Female,White,College graduate,Have own business/self-employed,$100k to under $150k,39,4,0,3,1,0,3,0,2,3,4
38 to 48,Male,White,College graduate,Have own business/self-employed,$100k to under $150k,4,1,0,0,0,1,0,0,0,0,1
38 to 48,Female,White,College graduate,Have own business/self-employed,Unknown,10,1,0,1,0,0,1,0,1,1,1
38 to 48,Female,White,College graduate,Employed part-time,$30k to under $40k,15,0,0,0,0,0,0,1,0,0,1
38 to 48,Female,White,College graduate,Employed part-time,$75k to under $100k,6,2,0,0,1,0,1,0,0,1,2
38 to 48,Female,White,College graduate,Employed part-time,$100k to under $150k,5,4,0,0,2,0,2,0,4,4,4
38 to 48,Female,White,College graduate,Employed part-time,Unknown,1,1,0,0,0,1,0,0,0,1,1
38 to 48,Female,White,College graduate,Employed full-time,$20k to under $30k,27,2,0,0,0,0,2,0,0,0,2
38 to 48,Female,White,College graduate,Employed full-time,$30k to under $40k,26,4,1,1,2,1,1,0,0,2,4
38 to 48,Male,White,College graduate,Employed full-time,$30k to under $40k,3,1,0,0,0,1,0,0,1,0,2
38 to 48,Female,White,College graduate,Employed full-time,$40k to under $50k,15,3,0,2,1,0,1,1,1,3,3
38 to 48,Male,White,College graduate,Employed full-time,$40k to under $50k,31,2,0,0,0,1,1,0,2,1,2
38 to 48,Female,White,College graduate,Employed full-time,$50k to under $75k,4,1,0,0,1,0,0,0,1,1,1
38 to 48,Male,White,College graduate,Employed full-time,$50k to under $75k,6,3,2,2,1,1,0,1,3,2,5
38 to 48,Female,White,College graduate,Employed full-time,$75k to under $100k,4,6,1,1,2,1,3,0,1,3,7
38 to 48,Male,White,College graduate,Employed full-time,$75k to under $100k,15,7,2,1,2,1,4,0,6,6,7
38 to 48,Female,White,College graduate,Employed full-time,$100k to under $150k,24,9,2,7,1,0,7,1,5,5,9
38 to 48,Male,White,College graduate,Employed full-time,$100k to under $150k,15,21,2,13,2,2,17,3,15,20,26
38 to 48,Female,White,College graduate,Employed full-time,Unknown,12,3,1,1,1,1,1,0,2,0,3
38 to 48,Male,White,College graduate,Employed full-time,Unknown,8,2,1,0,1,0,1,0,2,2,2
38 to 48,Female,White,College graduate,Not employed for pay,$10k to under $20k,4,1,1,1,1,0,0,0,1,1,1
38 to 48,Female,White,College graduate,Not employed for pay,$20k to under $30k,50,1,1,0,0,1,0,0,1,0,1
38 to 48,Female,White,College graduate,Not employed for pay,$30k to under $40k,15,2,1,1,0,1,1,0,2,1,2
38 to 48,Male,White,College graduate,Not employed for pay,$30k to under $40k,25,1,0,0,0,0,0,1,1,1,1
38 to 48,Male,White,College graduate,Not employed for pay,$50k to under $75k,20,1,0,0,0,0,0,1,0,0,1
38 to 48,Female,White,College graduate,Not employed for pay,$100k to under $150k,40,6,3,3,3,2,1,0,5,4,6
38 to 48,Male,White,College graduate,Not employed for pay,$100k to under $150k,6,1,1,0,0,0,1,0,0,1,1
38 to 48,Female,White,College graduate,Not employed for pay,Unknown,5,1,0,0,1,0,0,0,0,0,1
38 to 48,Male,White,College graduate,Not employed for pay,Unknown,97,1,0,1,0,0,0,1,1,1,1
38 to 48,Female,White,College graduate,Other,Unknown,5,1,0,0,0,0,0,1,1,1,1
38 to 48,Male,White,Some college,Retired,$20k to under $30k,17,2,0,1,0,0,1,1,1,1,2
38 to 48,Male,White,Some college,Retired,$50k to under $75k,35,2,2,1,0,1,0,1,2,1,2
38 to 48,Male,White,Some college,Have own business/self-employed,$100k to under $150k,6,1,0,0,0,0,1,0,0,1,1
38 to 48,Female,White,Some college,Employed part-time,$30k to under $40k,7,3,1,0,2,0,1,0,3,2,3
38 to 48,Female,White,Some college,Employed part-time,$50k to under $75k,40,3,1,1,1,0,1,1,2,3,3
38 to 48,Female,White,Some college,Employed part-time,$100k to under $150k,24,1,0,0,0,1,0,0,1,1,1
38 to 48,Male,White,Some college,Employed part-time,$100k to under $150k,6,1,0,0,1,0,0,0,0,1,1
38 to 48,Male,White,Some college,Employed full-time,$20k to under $30k,1,1,0,0,1,0,0,0,1,0,2
38 to 48,Female,White,Some college,Employed full-time,$30k to under $40k,16,3,1,1,0,0,1,2,3,1,3
38 to 48,Male,White,Some college,Employed full-time,$30k to under $40k,4,2,0,0,0,0,1,1,1,0,2
38 to 48,Female,White,Some college,Employed full-time,$40k to under $50k,5,1,0,0,0,0,1,0,1,1,1
38 to 48,Male,White,Some college,Employed full-time,$40k to under $50k,27,2,0,0,1,1,0,0,1,1,2
38 to 48,Female,White,Some college,Employed full-time,$50k to under $75k,84,1,0,0,0,0,1,0,1,1,1
38 to 48,Male,White,Some college,Employed full-time,$50k to under $75k,22,5,1,2,2,1,3,0,7,4,9
38 to 48,Female,White,Some college,Employed full-time,$75k to under $100k,26,6,1,4,0,0,5,1,4,5,6
38 to 48,Male,White,Some college,Employed full-time,$75k to under $100k,9,5,1,2,2,0,2,1,3,3,5
38 to 48,Female,White,Some college,Employed full-time,$100k to under $150k,5,9,0,2,1,0,6,2,6,4,9
38 to 48,Male,White,Some college,Employed full-time,$100k to under $150k,9,8,1,3,1,1,6,0,6,6,9
38 to 48,Female,White,Some college,Employed full-time,Unknown,13,4,1,1,2,0,1,1,3,3,5
38 to 48,Male,White,Some college,Employed full-time,Unknown,2,3,0,1,0,0,2,1,1,0,3
38 to 48,Female,White,Some college,Not employed for pay,Less than $10k,7,1,0,0,0,0,1,0,0,0,1
38 to 48,Female,White,Some college,Not employed for pay,$50k to under $75k,37,2,1,2,0,0,1,1,1,0,2
38 to 48,Female,White,Some college,Not employed for pay,$75k to under $100k,5,1,1,1,0,0,1,0,0,1,1
38 to 48,Female,White,Some college,Not employed for pay,$100k to under $150k,5,1,0,0,0,0,1,0,0,1,1
38 to 48,Female,White,Some college,Disabled,$100k to under $150k,10,0,0,0,1,0,0,0,0,1,1
38 to 48,Female,White,Post-graduate training/professional school,Have own business/self-employed,$100k to under $150k,15,1,0,0,0,0,1,0,0,1,1
38 to 48,Female,White,Post-graduate training/professional school,Employed part-time,$100k to under $150k,22,5,3,2,0,3,3,0,4,3,6
38 to 48,Male,White,Post-graduate training/professional school,Employed part-time,$100k to under $150k,6,1,0,0,1,0,0,0,1,0,1
38 to 48,Female,White,Post-graduate training/professional school,Employed part-time,Unknown,1,1,0,0,0,0,1,0,1,1,2
38 to 48,Female,White,Post-graduate training/professional school,Employed full-time,$40k to under $50k,3,1,0,1,0,0,0,1,0,0,1
38 to 48,Male,White,Post-graduate training/professional school,Employed full-time,$40k to under $50k,5,1,0,1,0,0,0,1,1,1,1
38 to 48,Female,White,Post-graduate training/professional school,Employed full-time,$50k to under $75k,14,3,1,3,1,0,2,0,2,2,3
38 to 48,Male,White,Post-graduate training/professional school,Employed full-time,$50k to under $75k,30,4,1,2,0,0,4,0,4,2,4
38 to 48,Female,White,Post-graduate training/professional school,Employed full-time,$75k to under $100k,15,6,0,3,1,2,3,1,5,4,7
38 to 48,Male,White,Post-graduate training/professional school,Employed full-time,$75k to under $100k,9,3,1,4,1,2,2,0,4,4,5
38 to 48,Female,White,Post-graduate training/professional school,Employed full-time,$100k to under $150k,22,17,1,12,1,1,16,1,13,15,20
38 to 48,Male,White,Post-graduate training/professional school,Employed full-time,$100k to under $150k,16,22,7,10,1,2,19,1,21,18,25
38 to 48,Female,White,Post-graduate training/professional school,Employed full-time,Unknown,75,1,1,1,0,1,0,0,1,1,1
38 to 48,Male,White,Post-graduate training/professional school,Employed full-time,Unknown,17,5,2,1,0,0,4,1,4,4,5
38 to 48,Female,White,Post-graduate training/professional school,Not employed for pay,Less than $10k,50,1,0,1,0,0,1,0,1,1,1
38 to 48,Male,White,Post-graduate training/professional school,Not employed for pay,$10k to under $20k,4,1,0,0,0,1,0,0,0,0,1
38 to 48,Female,White,Post-graduate training/professional school,Not employed for pay,$40k to under $50k,35,1,0,1,0,0,0,1,1,1,1
38 to 48,Female,White,Post-graduate training/professional school,Not employed for pay,$75k to under $100k,10,1,0,0,0,0,1,0,0,0,1
38 to 48,Female,White,Post-graduate training/professional school,Not employed for pay,$100k to under $150k,13,2,0,1,0,0,2,0,1,1,2
38 to 48,Female,White,Post-graduate training/professional school,Not employed for pay,Unknown,35,2,0,0,0,1,1,0,1,1,2
38 to 48,Female,White,Post-graduate training/professional school,Other,Unknown,7,1,0,1,0,1,0,0,0,1,1
38 to 48,Male,White,Technical/trade/vocational school,Retired,$10k to under $20k,6,0,0,1,0,0,1,0,0,0,1
38 to 48,Male,White,Technical/trade/vocational school,Retired,$20k to under $30k,10,1,0,0,0,0,1,0,0,0,1
38 to 48,Male,White,Technical/trade/vocational school,Employed full-time,$40k to under $50k,25,0,0,0,0,0,1,0,1,1,1
38 to 48,Female,White,Technical/trade/vocational school,Employed full-time,$50k to under $75k,7,2,1,0,0,0,2,0,2,1,2
38 to 48,Male,White,Technical/trade/vocational school,Employed full-time,Unknown,10,1,0,1,1,0,0,0,1,0,1
38 to 48,Female,White,Technical/trade/vocational school,Not employed for pay,$50k to under $75k,10,1,0,1,0,0,1,0,1,0,1
38 to 48,Male,White,Technical/trade/vocational school,Disabled,$30k to under $40k,6,1,0,0,0,0,0,1,1,1,1
38 to 48,Male,White,None,Have own business/self-employed,$30k to under $40k,2,1,0,0,0,0,1,0,1,1,1
38 to 48,Male,White,None,Not employed for pay,Less than $10k,1,1,0,0,0,0,1,0,1,0,1
38 to 48,Female,White,None,Not employed for pay,$30k to under $40k,25,1,0,0,0,1,0,0,0,0,1
38 to 48,Female,White,Unknown,Employed part-time,$100k to under $150k,12,1,0,0,1,0,0,0,0,1,1
38 to 48,Male,Black or African-American,High school incomplete,Not employed for pay,Less than $10k,8,1,0,0,0,1,0,1,1,0,2
38 to 48,Male,Black or African-American,High school graduate,Retired,Less than $10k,96,1,0,0,0,0,1,0,1,1,1
38 to 48,Female,Black or African-American,High school graduate,Employed part-time,Less than $10k,3,1,0,1,0,0,1,0,1,1,1
38 to 48,Male,Black or African-American,High school graduate,Employed part-time,Less than $10k,2,1,0,0,1,0,0,0,0,0,1
38 to 48,Female,Black or African-American,High school graduate,Employed full-time,$10k to under $20k,6,1,0,0,0,1,0,0,1,0,2
38 to 48,Male,Black or African-American,High school graduate,Employed full-time,$20k to under $30k,2,1,0,0,0,0,1,0,1,0,1
38 to 48,Male,Black or African-American,High school graduate,Employed full-time,$30k to under $40k,5,1,0,0,0,0,1,0,1,1,1
38 to 48,Female,Black or African-American,High school graduate,Employed full-time,$40k to under $50k,13,1,0,0,0,0,1,0,0,1,1
38 to 48,Male,Black or African-American,High school graduate,Employed full-time,$40k to under $50k,10,2,1,1,2,0,0,0,2,0,2
38 to 48,Female,Black or African-American,High school graduate,Not employed for pay,Less than $10k,3,1,0,0,1,0,0,0,0,0,1
38 to 48,Male,Black or African-American,High school graduate,Not employed for pay,$10k to under $20k,1,1,0,0,0,0,1,0,0,0,2
38 to 48,Male,Black or African-American,College graduate,Have own business/self-employed,$100k to under $150k,1,0,0,0,0,0,1,0,1,1,1
38 to 48,Male,Black or African-American,College graduate,Employed full-time,$20k to under $30k,7,1,1,0,1,0,0,0,1,1,1
38 to 48,Female,Black or African-American,College graduate,Employed full-time,$30k to under $40k,6,2,0,1,1,0,1,0,1,1,2
38 to 48,Female,Black or African-American,College graduate,Employed full-time,$50k to under $75k,10,1,0,1,1,0,0,0,1,1,1
38 to 48,Female,Black or African-American,College graduate,Employed full-time,$75k to under $100k,3,1,0,0,0,0,1,0,1,1,1
38 to 48,Male,Black or African-American,College graduate,Employed full-time,$75k to under $100k,7,2,0,0,0,0,2,0,1,1,2
38 to 48,Female,Black or African-American,College graduate,Employed full-time,$100k to under $150k,60,1,1,1,0,0,0,1,0,1,1
38 to 48,Male,Black or African-American,College graduate,Employed full-time,$100k to under $150k,7,3,0,1,0,0,3,0,1,2,3
38 to 48,Female,Black or African-American,College graduate,Not employed for pay,$10k to under $20k,3,1,1,0,0,0,0,1,1,0,1
38 to 48,Female,Black or African-American,College graduate,Not employed for pay,$100k to under $150k,50,1,0,1,0,1,0,0,1,1,1
38 to 48,Female,Black or African-American,Some college,Retired,$100k to under $150k,7,1,0,0,0,0,1,0,1,1,1
38 to 48,Male,Black or African-American,Some college,Employed part-time,$20k to under $30k,5,1,1,1,0,0,1,0,0,1,1
38 to 48,Female,Black or African-American,Some college,Employed full-time,$10k to under $20k,6,1,0,0,0,0,1,0,0,1,1
38 to 48,Male,Black or African-American,Some college,Employed full-time,$30k to under $40k,8,2,0,0,0,1,1,0,3,2,3
38 to 48,Male,Black or African-American,Some college,Employed full-time,$40k to under $50k,2,1,0,0,0,0,0,1,1,0,2
38 to 48,Female,Black or African-American,Some college,Employed full-time,$50k to under $75k,3,2,1,0,0,0,2,0,1,1,2
38 to 48,Female,Black or African-American,Some college,Employed full-time,$75k to under $100k,3,1,0,0,0,0,1,0,0,1,1
38 to 48,Male,Black or African-American,Some college,Employed full-time,$100k to under $150k,10,1,1,1,0,0,0,1,1,1,1
38 to 48,Female,Black or African-American,Some college,Employed full-time,Unknown,6,1,0,0,0,0,1,0,2,1,2
38 to 48,Male,Black or African-American,Some college,Not employed for pay,Less than $10k,10,1,0,0,0,1,0,0,1,1,1
38 to 48,Female,Black or African-American,Some college,Not employed for pay,$10k to under $20k,4,1,0,0,0,0,0,1,1,1,1
38 to 48,Female,Black or African-American,Post-graduate training/professional school,Employed full-time,$50k to under $75k,10,1,0,1,0,0,1,0,0,1,1
38 to 48,Female,Black or African-American,Post-graduate training/professional school,Employed full-time,$100k to under $150k,18,2,1,2,0,0,2,0,1,1,2
38 to 48,Male,Black or African-American,Post-graduate training/professional school,Employed full-time,$100k to under $150k,6,1,0,1,0,0,1,0,1,1,1
38 to 48,Female,Black or African-American,Post-graduate training/professional school,Employed full-time,Unknown,4,1,0,1,0,0,0,1,1,0,1
38 to 48,Female,Black or African-American,Technical/trade/vocational school,Employed full-time,$75k to under $100k,3,1,0,0,0,0,1,0,1,0,1
38 to 48,Male,Black or African-American,None,Employed part-time,$100k to under $150k,5,1,0,0,0,0,1,0,1,1,1
38 to 48,Female,Mixed race,High school incomplete,Not employed for pay,$20k to under $30k,1,1,0,0,1,0,0,0,0,0,1
38 to 48,Male,Mixed race,High school graduate,Employed full-time,$50k to under $75k,12,0,1,1,0,0,1,0,0,1,1
38 to 48,Male,Mixed race,High school graduate,Not employed for pay,$100k to under $150k,3,0,0,0,1,0,0,0,1,0,1
38 to 48,Male,Mixed race,College graduate,Employed full-time,$40k to under $50k,20,1,0,0,0,0,1,0,0,0,1
38 to 48,Female,Mixed race,College graduate,Employed full-time,$75k to under $100k,12,1,0,0,0,0,1,0,0,1,1
38 to 48,Male,Mixed race,College graduate,Not employed for pay,Less than $10k,1,0,1,0,0,1,0,0,1,1,1
38 to 48,Female,Mixed race,College graduate,Not employed for pay,$100k to under $150k,15,1,0,0,0,0,1,0,0,1,1
38 to 48,Female,Mixed race,Some college,Employed part-time,$20k to under $30k,2,1,1,0,0,0,1,0,0,1,1
38 to 48,Female,Mixed race,Some college,Employed full-time,$40k to under $50k,12,1,1,0,0,0,1,0,1,1,1
38 to 48,Female,Mixed race,Some college,Employed full-time,$75k to under $100k,6,1,1,1,0,0,0,1,1,1,1
38 to 48,Female,Mixed race,Some college,Employed full-time,Unknown,1,1,0,0,0,0,1,0,1,0,1
38 to 48,Female,Mixed race,Post-graduate training/professional school,Disabled,$30k to under $40k,50,1,0,0,0,0,0,1,0,0,1
38 to 48,Male,Mixed race,Technical/trade/vocational school,Not employed for pay,Less than $10k,1,1,0,0,0,1,0,0,0,0,1
38 to 48,Female,Unknown,High school graduate,Employed full-time,Unknown,20,1,0,0,0,0,1,0,1,0,1
38 to 48,Female,Unknown,Some college,Employed full-time,$75k to under $100k,7,1,0,1,0,0,1,0,1,1,1
38 to 48,Female,Unknown,Some college,Employed full-time,Unknown,5,1,0,0,0,1,0,0,1,1,1
38 to 48,Female,Unknown,Post-graduate training/professional school,Employed full-time,$75k to under $100k,2,1,0,0,0,0,0,1,1,1,1
38 to 48,Male,Unknown,Post-graduate training/professional school,Employed full-time,Unknown,20,1,1,1,0,0,1,0,1,1,1
38 to 48,Male,Native American/American Indian,High school incomplete,Disabled,Less than $10k,25,1,1,1,0,1,0,0,0,1,1
38 to 48,Male,Native American/American Indian,High school graduate,Employed full-time,Less than $10k,97,1,1,1,0,0,1,0,1,1,1
38 to 48,Male,Native American/American Indian,High school graduate,Employed full-time,$30k to under $40k,1,0,0,0,0,0,1,0,1,0,1
38 to 48,Male,Native American/American Indian,High school graduate,Not employed for pay,$10k to under $20k,12,1,0,0,0,0,1,0,1,0,1
38 to 48,Female,Native American/American Indian,Post-graduate training/professional school,Employed full-time,$50k to under $75k,3,1,0,0,0,0,1,0,0,1,1
38 to 48,Female,Native American/American Indian,Post-graduate training/professional school,Employed full-time,$100k to under $150k,20,1,0,1,0,0,1,0,1,1,1
38 to 48,Female,Asian or Pacific Islander,College graduate,Employed full-time,$75k to under $100k,6,1,0,2,0,1,1,0,0,1,2
38 to 48,Male,Asian or Pacific Islander,College graduate,Employed full-time,$75k to under $100k,7,2,0,2,0,1,0,1,1,2,2
38 to 48,Male,Asian or Pacific Islander,College graduate,Employed full-time,$100k to under $150k,2,1,0,0,1,0,0,0,0,1,1
38 to 48,Female,Asian or Pacific Islander,College graduate,Not employed for pay,$100k to under $150k,3,1,0,0,0,0,0,1,0,1,1
38 to 48,Female,Asian or Pacific Islander,Post-graduate training/professional school,Employed full-time,$50k to under $75k,2,1,0,0,0,1,0,0,0,0,1
38 to 48,Male,Asian or Pacific Islander,Post-graduate training/professional school,Employed full-time,$100k to under $150k,6,2,0,1,0,0,2,0,2,1,2
38 to 48,Male,Asian or Pacific Islander,Technical/trade/vocational school,Student,$100k to under $150k,20,1,0,0,0,0,1,0,0,1,1
38 to 48,Male,Other,High school graduate,Employed full-time,$100k to under $150k,3,0,0,0,0,0,0,1,0,0,1
49 to 59,Male,White,High school incomplete,Retired,$10k to under $20k,0,1,1,0,0,1,0,0,0,1,2
49 to 59,Male,White,High school incomplete,Employed part-time,$100k to under $150k,5,0,0,0,0,0,0,1,1,0,1
49 to 59,Female,White,High school incomplete,Employed full-time,$20k to under $30k,1,0,1,0,0,1,0,0,1,0,1
49 to 59,Male,White,High school incomplete,Employed full-time,$30k to under $40k,1,0,0,0,0,1,0,0,0,0,2
49 to 59,Female,White,High school incomplete,Employed full-time,$40k to under $50k,2,1,0,0,0,0,1,0,1,1,1
49 to 59,Female,White,High school incomplete,Not employed for pay,Less than $10k,48,1,0,0,0,0,1,0,2,0,2
49 to 59,Female,White,High school incomplete,Not employed for pay,$20k to under $30k,6,1,0,0,1,0,0,0,1,1,1
49 to 59,Female,White,High school incomplete,Not employed for pay,$30k to under $40k,2,1,0,0,0,0,0,1,1,1,1
49 to 59,Male,White,High school incomplete,Disabled,Less than $10k,2,0,0,0,0,0,1,0,1,1,2
49 to 59,Male,White,High school incomplete,Disabled,$20k to under $30k,12,1,0,0,0,0,1,0,1,1,1
49 to 59,Male,White,High school graduate,Retired,$10k to under $20k,15,0,1,1,0,0,0,1,1,0,1
49 to 59,Female,White,High school graduate,Retired,$20k to under $30k,97,1,0,0,0,0,1,0,0,1,1
49 to 59,Male,White,High school graduate,Retired,$30k to under $40k,2,1,0,0,0,0,1,0,2,2,2
49 to 59,Female,White,High school graduate,Retired,$50k to under $75k,10,1,0,0,0,1,0,0,0,0,1
49 to 59,Male,White,High school graduate,Retired,$50k to under $75k,2,1,0,0,0,0,1,0,0,1,1
49 to 59,Female,White,High school graduate,Retired,$100k to under $150k,52,2,1,1,0,0,2,0,1,1,2
49 to 59,Male,White,High school graduate,Have own business/self-employed,$40k to under $50k,3,1,0,0,0,0,1,0,1,1,1
49 to 59,Female,White,High school graduate,Have own business/self-employed,$50k to under $75k,6,1,0,0,1,0,0,0,0,0,1
49 to 59,Female,White,High school graduate,Have own business/self-employed,Unknown,1,1,0,0,1,0,0,0,0,0,1
49 to 59,Female,White,High school graduate,Employed part-time,$10k to under $20k,20,0,0,1,0,0,1,0,1,0,1
49 to 59,Female,White,High school graduate,Employed part-time,$30k to under $40k,2,1,0,0,0,0,0,1,0,1,1
49 to 59,Male,White,High school graduate,Employed part-time,$30k to under $40k,20,1,0,1,0,0,0,1,1,0,1
49 to 59,Female,White,High school graduate,Employed part-time,$40k to under $50k,10,1,0,0,0,0,1,0,1,1,1
49 to 59,Female,White,High school graduate,Employed part-time,$75k to under $100k,6,1,0,1,0,0,1,0,1,1,1
49 to 59,Female,White,High school graduate,Employed part-time,$100k to under $150k,4,2,0,1,0,0,0,2,3,2,3
49 to 59,Female,White,High school graduate,Employed full-time,Less than $10k,20,1,0,0,0,0,1,0,1,0,1
49 to 59,Female,White,High school graduate,Employed full-time,$10k to under $20k,1,2,0,0,1,0,0,1,0,1,2
49 to 59,Male,White,High school graduate,Employed full-time,$10k to under $20k,10,0,0,0,0,0,0,1,0,0,1
49 to 59,Female,White,High school graduate,Employed full-time,$20k to under $30k,6,3,0,0,0,0,1,2,2,3,4
49 to 59,Male,White,High school graduate,Employed full-time,$20k to under $30k,4,0,0,0,0,0,0,1,0,0,1
49 to 59,Female,White,High school graduate,Employed full-time,$30k to under $40k,38,5,0,1,3,0,2,0,3,2,5
49 to 59,Male,White,High school graduate,Employed full-time,$30k to under $40k,21,1,0,0,0,0,1,0,2,0,2
49 to 59,Female,White,High school graduate,Employed full-time,$40k to under $50k,20,4,0,2,1,0,3,0,4,3,4
49 to 59,Male,White,High school graduate,Employed full-time,$40k to under $50k,4,3,0,1,2,0,1,0,2,1,4
49 to 59,Female,White,High school graduate,Employed full-time,$50k to under $75k,9,2,0,0,2,0,0,0,2,1,2
49 to 59,Male,White,High school graduate,Employed full-time,$50k to under $75k,5,6,0,1,1,0,2,3,6,4,9
49 to 59,Female,White,High school graduate,Employed full-time,$75k to under $100k,35,3,0,3,0,0,2,1,0,0,3
49 to 59,Male,White,High school graduate,Employed full-time,$75k to under $100k,5,1,0,0,0,0,1,1,1,1,2
49 to 59,Female,White,High school graduate,Employed full-time,$100k to under $150k,6,3,1,2,2,0,1,0,3,2,4
49 to 59,Male,White,High school graduate,Employed full-time,$100k to under $150k,13,6,0,3,1,0,5,0,5,5,9
49 to 59,Female,White,High school graduate,Employed full-time,Unknown,8,3,1,0,1,0,1,1,3,1,3
49 to 59,Male,White,High school graduate,Employed full-time,Unknown,17,3,0,1,0,0,2,2,2,0,4
49 to 59,Female,White,High school graduate,Not employed for pay,Less than $10k,20,1,1,0,0,0,2,0,1,0,2
49 to 59,Male,White,High school graduate,Not employed for pay,Less than $10k,2,1,0,0,0,0,0,1,0,0,1
49 to 59,Female,White,High school graduate,Not employed for pay,$20k to under $30k,4,2,0,0,0,0,1,1,2,1,2
49 to 59,Female,White,High school graduate,Not employed for pay,$30k to under $40k,10,1,0,0,0,0,0,1,0,1,1
49 to 59,Female,White,High school graduate,Not employed for pay,$50k to under $75k,26,2,1,0,0,0,3,0,1,1,4
